commenter,responds_to,is_root_comment,post_id,created_utc,score
Morningstardom,Perkunas999,False,qenkoj,1635099283.0,4
Tulio_58,MakZoz-25,False,qenkoj,1635085188.0,7
Syv_Fingre,leojg,False,qenkoj,1635092024.0,9
Tulio_58,leojg,False,qenkoj,1635109674.0,1
MakZoz-25,Tulio_58,False,qenkoj,1635104599.0,0
leojg,Syv_Fingre,False,qenkoj,1635094691.0,-1
Specific-Benefit,Tulio_58,False,qenkoj,1635112866.0,2
leojg,Tulio_58,False,qenkoj,1635113531.0,0
alotropico,leojg,False,qenkoj,1635102029.0,-1
Tulio_58,Specific-Benefit,False,qenkoj,1635116100.0,1
Tulio_58,leojg,False,qenkoj,1635114844.0,1
MakZoz-25,alotropico,False,qenkoj,1635105168.0,1
leojg,alotropico,False,qenkoj,1635105343.0,0
leojg,Tulio_58,False,qenkoj,1635115710.0,0
Tulio_58,leojg,False,qenkoj,1635116744.0,1
leojg,Tulio_58,False,qenkoj,1635117284.0,1
wakavy,random_daily_subject,True,qemz0k,1635095902.0,4
ElLujoEsVulgaridad,random_daily_subject,True,qemz0k,1635110179.0,2
geniowe2002,random_daily_subject,True,qemz0k,1635087287.0,1
Syv_Fingre,random_daily_subject,True,qemz0k,1635110709.0,1
empleadoEstatal,wakavy,False,qemz0k,1635097955.0,1
kevor_01,ElLujoEsVulgaridad,False,qemz0k,1635119324.0,1
empleadoEstatal,geniowe2002,False,qemz0k,1635097959.0,1
noodlion97,geniowe2002,False,qemz0k,1635116568.0,1
geniowe2002,empleadoEstatal,False,qemz0k,1635102626.0,1
Akamaramas,JustForTheToast,True,qelwq2,1635087116.0,4
JustForTheToast,JustForTheToast,True,qelwq2,1635054141.0,2
ripichipi25,JustForTheToast,True,qelwq2,1635093311.0,2
kin199x,JustForTheToast,True,qelpgn,1635090933.0,3
JustForTheToast,JustForTheToast,True,qelpgn,1635053168.0,2
CalamarinoDanzante,JustForTheToast,True,qelpgn,1635084817.0,0
Dear_Ad_3860,FefiyoBread,True,qekczx,1635121143.0,1
ElGordoQuePrograma,FefiyoBread,True,qekczx,1635089427.0,-1
FefiyoBread,ElGordoQuePrograma,False,qekczx,1635093434.0,0
Dear_Ad_3860,FefiyoBread,True,qek43a,1635120768.0,1
Hernan_OF,que-ganas,True,qeixnc,1635044278.0,11
german39,que-ganas,True,qeixnc,1635067798.0,7
The-H007,que-ganas,True,qeixnc,1635046883.0,5
mancoputeador,que-ganas,True,qeixnc,1635051623.0,3
bruhboiZ,que-ganas,True,qeixnc,1635115449.0,1
tonterias,The-H007,False,qeixnc,1635080706.0,2
The-H007,tonterias,False,qeixnc,1635081706.0,2
markabrake,STPUTTS,True,qeinpw,1635042515.0,4
CalamarinoDanzante,STPUTTS,True,qeinpw,1635088067.0,1
Hernan_OF,FefiyoBread,True,qeikc0,1635044437.0,7
gmuslera,FefiyoBread,True,qeikc0,1635041791.0,14
Cheap-Relationship86,FefiyoBread,True,qeikc0,1635084151.0,5
m0l0t0v1234,FefiyoBread,True,qeikc0,1635086479.0,1
FefiyoBread,Hernan_OF,False,qeikc0,1635044725.0,3
Hernan_OF,FefiyoBread,False,qeikc0,1635044902.0,4
que-ganas,FefiyoBread,False,qeikc0,1635046795.0,5
FefiyoBread,que-ganas,False,qeikc0,1635046875.0,4
ecluxr,ElPeruanoBitcoiner,True,qeif8a,1635041177.0,32
Hernan_OF,ElPeruanoBitcoiner,True,qeif8a,1635044155.0,10
markabrake,ElPeruanoBitcoiner,True,qeif8a,1635040266.0,8
notzonan,ElPeruanoBitcoiner,True,qeif8a,1635040505.0,8
empleadoEstatal,ElPeruanoBitcoiner,True,qeif8a,1635040633.0,3
Gabbr_,ElPeruanoBitcoiner,True,qeif8a,1635050093.0,4
euquiq,ElPeruanoBitcoiner,True,qeif8a,1635102220.0,2
SVPPB,ElPeruanoBitcoiner,True,qeif8a,1635082633.0,2
foothills_guide,ElPeruanoBitcoiner,True,qeif8a,1635042467.0,1
gmuslera,ElPeruanoBitcoiner,True,qeif8a,1635042532.0,1
guille_ur,ElPeruanoBitcoiner,True,qeif8a,1635046413.0,1
Kristalino,ElPeruanoBitcoiner,True,qeif8a,1635049875.0,1
marsupialRat,ecluxr,False,qeif8a,1635048350.0,9
notzonan,empleadoEstatal,False,qeif8a,1635040710.0,4
goncri,foothills_guide,False,qeif8a,1635082477.0,1
